MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
0.108135,1.074057,2.248865,-0.053161,0
0.117696,1.295113,2.376406,-0.30602,0
0.098575,3.947791,2.185094,-0.242806,0
0.127256,1.610908,2.21698,2.759897,0
0.108135,1.579329,2.21698,-0.084769,0
0.120883,6.284674,2.121324,-0.274413,0
0.092201,1.51617,4.098206,0.073268,0
0.152751,1.674067,2.185094,-0.179591,0
0.06352,1.642488,2.153209,-0.116376,0
0.066707,1.674067,1.515505,-0.30602,0
0.038025,1.547749,4.512714,-0.337628,0
0.057146,1.674067,2.057554,-0.179591,0
0.044399,1.737226,2.21698,0.199698,0
0.047586,1.958283,2.472061,0.073268,0
0.114509,1.958283,2.34452,0.010054,0
0.095388,2.084601,2.408291,-0.021554,0
0.124069,1.737226,2.28075,-0.464057,0
0.095388,1.610908,2.21698,-0.116376,0
0.101762,1.642488,2.153209,-0.242806,0
0.124069,1.642488,2.28075,-0.179591,0
0.108135,1.421431,2.34452,-0.43245,0
0.114509,1.547749,2.440176,-0.211198,0
0.359893,1.642488,3.556158,3.297223,0
0.140003,1.642488,2.21698,-0.084769,0
0.127256,1.610908,2.248865,-0.242806,0
0.092201,3.284622,2.185094,-0.274413,0
0.082641,1.547749,2.185094,-0.147983,0
0.101762,1.674067,2.089439,-0.211198,0
0.069894,1.642488,2.185094,-0.211198,0
0.076267,1.737226,1.993783,-0.084769,0
0.057146,1.642488,2.025668,-0.211198,0
0.025278,5.589925,2.025668,-0.495665,0
0.031652,1.926703,2.34452,-0.021554,0
0.079454,1.958283,2.408291,0.104876,0
0.104948,1.863544,2.312635,0.073268,0
0.117696,1.800385,2.248865,0.041661,0
0.098575,1.642488,2.21698,-0.021554,0
0.092201,1.547749,2.21698,0.231305,0
0.104948,1.705647,2.376406,-0.211198,0
0.120883,1.674067,2.28075,-0.211198,0
0.130443,1.610908,2.312635,-0.211198,0
0.127256,1.705647,2.248865,-0.274413,0
0.216487,1.326693,2.185094,-0.242806,0
0.149564,1.705647,2.185094,0.768631,0
0.114509,1.547749,2.21698,-0.179591,0
0.120883,1.642488,2.248865,-0.116376,0
0.130443,1.705647,2.21698,-0.179591,0
0.104948,1.642488,2.34452,-0.211198,0
0.06352,1.610908,2.121324,-0.179591,0
0.053959,1.642488,2.121324,-0.211198,0
-0.14681,0.126672,5.628696,-0.590487,0
0.06352,1.674067,2.089439,-0.242806,0
0.076267,3.726735,2.248865,-0.116376,0
0.095388,2.053021,2.440176,-0.400843,0
0.101762,1.831965,2.34452,0.041661,0
0.219674,6.379413,4.130092,1.748461,0
0.092201,1.610908,2.21698,-0.147983,0
0.095388,1.51617,2.185094,-0.179591,0
0.130443,1.705647,2.312635,-0.116376,0
0.111322,1.610908,2.21698,-0.242806,0
0.095388,1.610908,2.376406,-0.337628,0
0.079454,1.421431,2.312635,-0.179591,0
0.079454,1.579329,2.472061,1.590424,0
0.14319,1.705647,2.248865,0.010054,0
0.136817,1.579329,2.21698,-0.116376,0
0.050773,2.968827,2.21698,-0.211198,0
0.101762,1.610908,2.248865,-0.242806,0
0.092201,1.610908,2.185094,-0.274413,0
0.124069,1.642488,2.089439,-0.30602,0
0.101762,1.674067,2.248865,-0.274413,0
0.114509,-0.094385,1.770587,4.687949,0
0.047586,5.400448,2.089439,-0.874954,0
0.050773,1.895124,2.312635,0.010054,0
0.060333,1.958283,2.472061,0.104876,0
0.092201,1.831965,2.312635,0.041661,0
0.120883,1.895124,2.408291,0.041661,0
0.104948,1.705647,2.153209,-0.021554,0
0.104948,1.642488,2.248865,-0.211198,0
0.098575,1.51617,2.21698,1.211135,0
0.098575,1.610908,2.153209,-0.400843,0
0.101762,1.579329,2.503946,-0.179591,0
0.127256,1.800385,2.599602,-0.242806,0
0.108135,7.358377,2.535832,-0.147983,0
0.136817,1.737226,2.248865,-0.053161,0
0.124069,1.547749,2.21698,-0.179591,0
0.136817,1.768806,2.089439,3.170794,0
0.124069,1.610908,2.21698,-0.116376,0
0.117696,3.031986,2.21698,-0.147983,0
0.076267,6.663628,2.121324,-0.147983,0
0.066707,1.642488,2.089439,-0.211198,0
0.069894,1.705647,2.089439,0.42095,0
0.050773,1.642488,2.057554,-0.337628,0
0.057146,1.958283,2.312635,-0.053161,0
0.060333,1.863544,2.440176,0.041661,0
0.095388,1.737226,2.312635,0.041661,0
0.085828,1.737226,2.503946,-0.021554,0
0.130443,1.737226,2.535832,-0.116376,0
0.117696,1.579329,2.248865,-0.179591,0
0.13363,1.642488,2.312635,-0.084769,0
0.085828,1.737226,2.248865,-0.116376,0
0.111322,0.821421,2.408291,-0.179591,0
0.111322,1.51617,2.121324,-0.179591,0
0.104948,1.579329,2.376406,-0.147983,0
0.159124,1.642488,2.185094,0.136483,0
0.095388,1.48459,2.153209,-0.179591,0
0.101762,1.579329,2.28075,-0.147983,0
0.079454,1.421431,2.312635,2.696683,0
0.117696,1.610908,2.21698,-0.179591,0
0.079454,1.674067,2.185094,-0.179591,0
-0.009777,1.231954,3.269191,4.529912,0
0.07308,1.642488,2.121324,-0.179591,0
0.041212,1.579329,2.057554,-0.179591,0
0.06352,2.021442,2.312635,-0.021554,0
0.066707,1.895124,2.34452,0.073268,0
0.092201,1.831965,2.408291,0.073268,0
0.104948,1.705647,2.376406,-0.021554,0
0.101762,1.642488,2.28075,-0.053161,0
0.104948,1.547749,2.121324,-0.179591,0
0.098575,1.674067,2.248865,-0.084769,0
0.098575,1.674067,2.886569,-0.147983,0
0.098575,1.51617,2.21698,-0.147983,0
0.120883,1.610908,2.312635,-0.179591,0
0.104948,1.674067,2.312635,-0.084769,0
0.104948,1.610908,2.248865,-0.179591,0
0.13363,1.547749,2.28075,-0.147983,0
0.124069,1.547749,6.553367,-0.116376,0
0.114509,1.610908,2.21698,-0.179591,0
0.092201,1.705647,1.706816,-0.211198,0
0.057146,1.642488,2.21698,-0.179591,0
0.044399,1.642488,2.121324,-0.211198,0
0.085828,1.831965,2.089439,1.622031,0
0.041212,1.642488,1.930013,-0.179591,0
0.028465,1.800385,2.312635,-0.021554,0
0.053959,1.831965,2.440176,0.073268,0
0.117696,1.895124,2.34452,0.041661,0
0.13363,1.895124,4.480829,0.231305,0
0.124069,1.674067,3.492388,-0.242806,0
0.104948,9.474204,1.770587,-0.400843,0
0.079454,1.51617,2.21698,-0.147983,0
0.104948,1.610908,2.472061,-0.179591,0
0.124069,1.610908,2.28075,-0.179591,0
0.114509,1.705647,2.025668,-0.400843,0
0.057146,1.48459,2.408291,-0.242806,0
0.140003,1.674067,2.21698,-0.147983,0
0.155937,1.674067,2.28075,-0.147983,0
0.120883,1.579329,2.153209,-0.147983,0
0.108135,1.610908,2.21698,-0.147983,0
0.079454,1.547749,2.185094,-0.084769,0
0.041212,1.51617,2.21698,-0.211198,0
0.057146,1.610908,2.089439,-0.211198,0
0.060333,1.579329,1.961898,-0.242806,0
0.076267,3.189883,1.706816,-0.179591,0
0.047586,1.926703,2.34452,-0.053161,0
0.050773,1.863544,2.472061,0.010054,0
0.114509,1.800385,2.248865,0.073268,0
0.127256,1.800385,2.34452,0.010054,0
0.117696,1.610908,2.21698,-0.084769,0
0.114509,1.547749,2.21698,-0.242806,0
0.092201,1.610908,2.21698,-0.084769,0
0.104948,1.610908,2.376406,-0.084769,0
0.120883,1.295113,2.376406,-0.30602,0
0.079454,1.358272,2.121324,-0.147983,0
0.07308,1.642488,2.28075,-0.147983,0
0.104948,1.674067,2.21698,-0.084769,0
0.098575,9.316306,2.089439,-0.30602,0
0.104948,1.579329,2.312635,-0.179591,0
0.114509,1.610908,2.21698,-0.147983,0
0.098575,1.610908,2.21698,-0.179591,0
0.07308,1.547749,4.704025,-0.337628,0
0.06352,1.610908,2.121324,-0.274413,0
0.079454,1.610908,2.089439,-0.179591,0
0.047586,1.642488,1.802472,-0.242806,0
0.047586,1.863544,2.312635,-0.021554,0
0.178245,2.053021,2.663372,0.073268,0
0.114509,1.831965,2.28075,-0.021554,0
0.092201,1.642488,2.21698,-0.147983,0
0.120883,1.737226,2.312635,-0.053161,0
0.114509,1.610908,1.930013,-0.179591,0
