MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,
0.06352,0.568785,2.089439,-0.179591,0,,
0.053959,0.347728,2.121324,-0.116376,0,,
0.057146,0.568785,3.715584,-0.116376,0,,
0.07308,0.600364,2.121324,-0.242806,0,,
0.057146,0.600364,1.993783,-0.179591,0,,
0.085828,0.631944,3.07788,-0.211198,0,,
0.015718,2.589873,2.408291,-0.147983,0,,
0.050773,0.821421,2.025668,0.041661,0,,
0.114509,0.695103,2.34452,0.073268,0,,
0.13363,0.853,2.34452,0.073268,0,,
0.127256,0.663523,2.153209,-0.116376,0,,
0.13363,0.631944,2.185094,-0.021554,0,,
0.092201,0.758262,2.185094,-0.179591,0,,
0.104948,0.568785,2.21698,-0.274413,0,,
0.108135,0.568785,2.21698,-0.274413,0,,
0.101762,0.505626,2.21698,-0.211198,0,,
0.095388,0.410887,2.121324,5.004023,0,,
0.152751,0.600364,2.185094,-0.179591,0,,
0.136817,0.537205,2.21698,-0.147983,0,,
0.101762,0.663523,2.185094,-0.211198,0,,
0.079454,0.600364,2.121324,-0.179591,0,,
0.066707,0.821421,2.089439,-0.084769,0,,
0.076267,0.600364,2.089439,-0.242806,0,,
0.066707,0.695103,2.057554,-0.211198,0,,
0.066707,0.695103,2.025668,-0.147983,0,,
0.07308,0.695103,2.153209,-0.116376,0,,
0.050773,1.263534,2.472061,0.041661,0,,
0.06352,0.916159,2.376406,0.104876,0,,
0.414069,2.77935,3.619928,0.989883,0,,
0.120883,0.821421,2.312635,0.041661,0,,
0.104948,0.631944,2.153209,-0.053161,0,,
0.108135,0.600364,2.089439,-0.179591,0,,
0.082641,0.695103,2.089439,-0.179591,0,,
0.092201,0.505626,2.121324,-0.116376,0,,
0.152751,0.505626,1.387964,-0.337628,0,,
0.114509,0.537205,2.248865,-0.211198,0,,
0.197366,1.610908,2.089439,0.452557,0,,
0.130443,0.537205,2.248865,-0.116376,0,,
0.385388,0.789841,2.695258,0.357735,0,,
0.104948,0.568785,2.21698,-0.179591,0,,
0.098575,0.600364,2.153209,-0.147983,0,,
0.194179,1.295113,1.706816,-0.874954,0,,
0.069894,0.600364,2.312635,-0.211198,0,,
0.022091,0.695103,2.089439,-0.084769,0,,
0.069894,1.137216,1.993783,-0.147983,0,,
0.038025,0.758262,2.185094,0.737024,0,,
0.038025,0.789841,2.440176,0.104876,0,,
0.101762,0.853,2.376406,0.073268,0,,
0.104948,0.821421,2.376406,0.073268,0,,
0.197366,7.737331,2.535832,0.199698,0,,
0.07308,0.505626,2.631487,-0.116376,0,,
