MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder
0.085828,0.347728,2.408291,0.010054,0
0.092201,0.189831,2.376406,-0.147983,0
0.136817,0.284569,2.248865,-0.021554,0
0.124069,0.126672,2.153209,-0.211198,0
0.098575,0.000354,2.057554,-0.30602,0
0.07308,0.063513,2.153209,-0.748524,0
0.101762,4.926756,2.153209,-0.274413,0
0.117696,0.189831,2.248865,-0.30602,0
0.111322,0.095092,2.248865,-0.211198,0
0.206926,0.410887,1.738702,-0.653702,0
0.101762,0.031933,2.153209,-0.179591,0
0.079454,0.095092,2.21698,-0.211198,0
0.060333,0.063513,2.121324,-0.30602,0
0.085828,0.22141,2.185094,-0.211198,0
0.034839,0.063513,2.057554,-0.274413,0
0.07308,0.189831,1.930013,-0.211198,0
0.047586,0.158251,2.025668,-0.179591,0
0.165498,0.695103,1.802472,-0.843346,0
0.076267,0.379308,2.248865,-0.084769,0
0.066707,0.758262,2.34452,0.578987,0
0.07308,0.347728,2.34452,0.073268,0
0.104948,0.284569,2.28075,0.073268,0
0.104948,-0.094385,2.089439,-0.116376,0
0.136817,4.421484,2.408291,-0.084769,0
0.095388,0.095092,2.121324,-0.179591,0
0.07308,0.537205,2.185094,0.231305,0
0.092201,-0.125964,1.866242,-0.211198,0
0.136817,0.158251,2.408291,-0.021554,0
0.079454,0.095092,1.802472,-0.147983,0
0.114509,0.095092,2.440176,-0.147983,0
0.124069,0.063513,2.185094,-0.179591,0
0.114509,0.095092,2.185094,-0.179591,0
0.06352,0.063513,2.153209,-0.242806,0
0.108135,0.189831,2.121324,2.317394,0
0.047586,0.063513,2.089439,-0.211198,0
0.025278,0.063513,2.28075,-0.30602,0
0.025278,0.095092,1.993783,-0.274413,0
0.006157,0.158251,1.930013,-0.242806,0
0.031652,0.284569,2.248865,-0.021554,0
0.057146,0.379308,2.376406,-0.400843,0
0.092201,0.410887,2.34452,0.073268,0
0.114509,0.284569,2.312635,0.041661,0
0.13363,0.158251,1.770587,-0.116376,0
0.095388,-0.283862,1.834357,-0.179591,0
0.130443,0.095092,2.025668,-0.653702,0
0.130443,0.189831,2.312635,-0.116376,0
0.092201,0.126672,2.21698,-0.464057,0
0.066707,0.095092,2.790913,-0.053161,0
0.104948,0.126672,2.248865,-0.30602,0
0.104948,0.158251,1.866242,-0.147983,0
0.101762,0.063513,2.185094,-0.179591,0
0.069894,0.000354,2.21698,-0.211198,0
0.066707,0.126672,2.248865,-0.242806,0
0.07308,0.095092,2.21698,-0.179591,0
0.104948,0.25299,2.121324,-0.179591,0
-0.019337,0.095092,2.153209,-0.053161,0
0.095388,0.189831,2.089439,-0.211198,0
0.149564,0.347728,3.492388,0.104876,0
0.053959,0.347728,2.440176,-0.021554,0
0.053959,0.379308,2.376406,-0.021554,0
0.092201,0.316149,2.21698,1.527209,0
0.120883,0.410887,2.312635,-0.053161,0
0.085828,0.189831,2.025668,-0.147983,0
0.085828,0.126672,2.057554,-0.211198,0
0.092201,-0.125964,2.185094,-0.211198,0
0.079454,-0.062805,1.834357,-0.274413,0
0.101762,0.000354,2.21698,-0.274413,0
0.07308,0.031933,2.472061,-0.274413,0
0.101762,0.158251,2.376406,-0.211198,0
0.13363,0.063513,2.153209,-0.116376,0
0.140003,-0.315441,2.185094,-0.053161,0
0.111322,0.442467,2.822798,-0.084769,0
0.101762,0.126672,2.153209,-0.211198,0
0.098575,0.379308,2.153209,-0.211198,0
0.127256,0.284569,2.312635,-0.053161,0
0.050773,0.158251,2.121324,-0.211198,0
0.104948,0.568785,1.738702,-1.412279,0
0.041212,0.22141,2.057554,-0.242806,0
0.060333,0.347728,1.164768,-0.30602,0
0.022091,0.442467,2.472061,-0.021554,0
0.171871,0.031933,2.663372,0.958276,0
0.114509,0.284569,2.248865,0.073268,0
0.108135,0.095092,2.21698,2.064535,0
0.104948,0.158251,2.121324,-0.147983,0
0.092201,4.958335,1.961898,-0.30602,0
0.095388,0.063513,2.376406,-0.211198,0
0.079454,0.063513,2.248865,-0.30602,0
0.089014,-0.094385,2.28075,-0.179591,0
0.101762,0.189831,1.930013,-0.337628,0
0.104948,0.189831,2.153209,-0.147983,0
0.111322,0.158251,2.21698,-0.242806,0
0.108135,0.537205,1.579276,-0.274413,0
0.114509,0.158251,5.118533,-0.369235,0
0.082641,0.158251,2.089439,-0.211198,0
0.034839,0.095092,2.21698,-0.211198,0
0.060333,0.189831,2.057554,-0.242806,0
0.984508,0.25299,1.356079,-0.400843,0
0.015718,0.095092,2.025668,-0.274413,0
0.025278,1.610908,3.07788,-0.242806,0
0.028465,0.410887,2.312635,-0.084769,0
0.101762,0.379308,2.34452,0.041661,0
0.117696,0.284569,2.28075,0.073268,0
0.066707,0.095092,2.21698,-0.053161,0
0.127256,0.189831,2.089439,-0.147983,0
0.108135,0.126672,2.121324,-0.274413,0
0.079454,-0.031226,2.153209,-0.400843,0
0.104948,0.063513,2.185094,-0.179591,0
0.076267,-0.315441,2.21698,-0.369235,0
0.082641,0.095092,2.34452,-0.30602,0
0.120883,0.158251,2.121324,-0.179591,0
0.136817,0.095092,2.153209,-0.211198,0
0.111322,0.126672,2.185094,-0.274413,0
0.015718,-0.031226,1.770587,4.245445,0
0.117696,0.25299,2.185094,-0.242806,0
0.146377,-0.252282,1.834357,-0.464057,0
0.031652,0.095092,2.025668,-0.242806,0
0.041212,0.095092,2.025668,-0.211198,0
0.038025,3.063565,2.089439,-0.242806,0
0.028465,0.347728,2.153209,0.010054,0
0.060333,0.474046,2.472061,-0.053161,0
0.082641,0.410887,2.440176,0.073268,0
0.053959,0.505626,2.408291,0.104876,0
1.029123,0.25299,1.834357,-0.369235,0
0.187806,0.284569,2.248865,3.392045,0
0.095388,0.095092,1.993783,-0.274413,0
0.095388,0.095092,2.21698,-0.242806,0
0.079454,0.031933,2.248865,-0.242806,0
0.092201,0.095092,2.312635,-0.242806,0
0.050773,-0.157544,3.556158,1.590424,0
0.104948,0.916159,2.025668,-0.116376,0
0.165498,0.821421,2.28075,-0.179591,0
0.089014,0.063513,2.185094,-0.211198,0
0.331212,2.558293,3.460502,0.610594,0
0.095388,-0.062805,2.376406,-0.242806,0
0.053959,0.126672,2.025668,-0.242806,0
0.022091,0.095092,1.802472,-0.30602,0
0.047586,3.979371,2.121324,-0.242806,0
0.022091,0.063513,2.950339,-0.337628,0
0.041212,0.347728,2.248865,-0.021554,0
0.031652,0.410887,2.472061,0.010054,0
0.159124,0.22141,5.182303,-0.780131,0
0.095388,0.158251,4.799681,0.041661,0
0.089014,0.189831,2.248865,0.199698,0
0.111322,0.095092,2.248865,-0.179591,0
