MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
0.117696,1.010898,1.961898,-0.116376,0,,,
0.085828,0.88458,2.121324,-0.179591,0,,,
0.082641,0.947739,2.248865,-0.084769,0,,,
0.095388,0.947739,2.248865,-0.179591,0,,,
0.108135,0.947739,2.185094,-0.179591,0,,,
0.069894,0.853,2.153209,-0.242806,0,,,
0.066707,2.621452,2.34452,-0.211198,0,,,
0.13363,1.137216,2.185094,-0.084769,0,,,
0.598904,1.137216,2.472061,0.199698,0,,,
0.124069,0.88458,2.248865,0.737024,0,,,
0.085828,0.947739,2.21698,-0.242806,0,,,
0.079454,0.916159,2.185094,-0.179591,0,,,
0.089014,0.916159,2.21698,-0.147983,0,,,
0.082641,1.042477,2.34452,2.633468,0,,,
0.053959,0.916159,2.025668,-0.179591,0,,,
0.092201,1.295113,2.057554,-0.211198,0,,,
0.041212,1.168795,2.185094,-0.211198,0,,,
0.07308,1.263534,2.472061,0.073268,0,,,
0.104948,1.547749,2.153209,-0.527272,0,,,
0.181432,1.358272,2.599602,0.231305,0,,,
0.111322,1.042477,2.153209,0.010054,0,,,
0.098575,3.253042,2.025668,4.909201,0,,,
0.085828,0.947739,2.28075,-0.179591,0,,,
0.098575,0.947739,2.185094,-0.179591,0,,,
0.152751,0.88458,2.185094,-0.400843,0,,,
0.079454,0.726682,2.376406,-0.084769,0,,,
0.069894,0.758262,2.312635,3.486868,0,,,
0.159124,1.074057,3.205421,-0.053161,0,,,
0.13363,0.853,1.961898,1.906498,0,,,
0.07308,1.579329,2.312635,-0.211198,0,,,
0.079454,0.947739,2.185094,-0.179591,0,,,
0.136817,1.042477,2.185094,-0.147983,0,,,
0.092201,1.137216,2.153209,-0.179591,0,,,
0.050773,0.947739,2.185094,-0.242806,0,,,
0.031652,0.916159,2.21698,-0.211198,0,,,
0.050773,0.979318,2.025668,-0.179591,0,,,
0.025278,1.074057,2.376406,-0.053161,0,,,
0.053959,1.168795,2.503946,0.041661,0,,,
0.069894,1.200375,2.34452,0.104876,0,,,
0.111322,1.010898,2.248865,-0.211198,0,,,
0.117696,1.010898,2.21698,-0.053161,0,,,
0.022091,0.631944,2.025668,-0.30602,0,,,
0.28341,2.274078,2.057554,0.326128,0,,,
0.095388,0.916159,2.34452,-0.084769,0,,,
0.104948,0.537205,2.312635,-0.55888,0,,,
0.041212,0.88458,2.440176,-0.30602,0,,,
0.101762,0.505626,1.834357,-0.242806,0,,,
0.108135,1.168795,2.185094,-0.116376,0,,,
0.149564,0.947739,2.153209,-0.179591,0,,,
0.14319,0.916159,2.21698,-0.179591,0,,,
0.538355,3.000406,2.535832,0.104876,0,,,
0.120883,1.010898,2.121324,-0.179591,0,,,
0.085828,1.010898,2.185094,-0.211198,0,,,
0.066707,0.947739,2.089439,-0.211198,0,,,
0.07308,2.495134,2.089439,0.104876,0,,,
0.028465,0.947739,1.930013,-0.242806,0,,,
0.034839,1.074057,2.153209,-0.084769,0,,,
0.053959,1.263534,2.440176,-0.053161,0,,,
0.076267,1.231954,2.34452,0.041661,0,,,
0.104948,1.137216,2.312635,-0.021554,0,,,
0.127256,1.105636,2.312635,0.010054,0,,,
0.085828,2.968827,2.025668,-0.242806,0,,,
0.101762,0.853,2.153209,-0.179591,0,,,
0.101762,1.200375,2.057554,-0.211198,0,,,
