MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,,,
0.069894,1.010898,2.121324,-0.179591,0,,,,,
0.006157,1.295113,1.802472,-0.464057,0,,,,,
0.038025,1.042477,2.057554,-0.211198,0,,,,,
0.028465,1.010898,2.089439,-0.179591,0,,,,,
0.028465,1.200375,2.663372,0.010054,0,,,,,
0.082641,1.295113,2.34452,0.041661,0,,,,,
0.117696,1.168795,2.34452,0.073268,0,,,,,
0.111322,1.168795,2.312635,-0.211198,0,,,,,
0.108135,1.010898,2.121324,-0.147983,0,,,,,
0.461871,2.74777,3.683699,2.127749,0,,,,,
0.114509,1.105636,2.408291,-0.274413,0,,,,,
0.101762,0.947739,2.248865,-0.242806,0,,,,,
0.089014,0.789841,2.185094,-0.653702,0,,,,,
0.057146,0.695103,2.567717,-0.30602,0,,,,,
0.104948,1.074057,2.312635,-0.084769,0,,,,,
0.14319,1.010898,2.121324,-0.242806,0,,,,,
0.095388,0.979318,2.185094,-0.242806,0,,,,,
0.089014,0.88458,2.21698,-0.116376,0,,,,,
0.089014,1.105636,2.21698,0.578987,0,,,,,
0.044399,0.979318,2.121324,-0.242806,0,,,,,
0.181432,1.831965,2.408291,0.010054,0,,,,,
0.168685,1.579329,1.834357,-0.811739,0,,,,,
0.044399,1.042477,2.089439,-0.242806,0,,,,,
0.047586,1.010898,1.993783,-0.748524,0,,,,,
0.044399,1.137216,2.599602,0.041661,0,,,,,
0.07308,1.421431,2.440176,-1.538709,0,,,,,
0.117696,1.421431,2.312635,-0.021554,0,,,,,
0.130443,1.168795,2.440176,0.010054,0,,,,,
0.13363,1.010898,2.121324,-0.179591,0,,,,,
0.082641,0.979318,2.185094,-0.179591,0,,,,,
0.079454,1.010898,2.185094,-0.242806,0,,,,,
0.089014,1.042477,2.34452,-0.147983,0,,,,,
-0.054392,6.632049,1.866242,-1.15942,0,,,,,
0.108135,1.105636,0,-0.179591,0,,,,,
0.085828,5.589925,2.34452,-0.211198,0,,,,,
0.117696,0.916159,2.21698,-0.211198,0,,,,,
0.095388,1.010898,2.121324,-0.179591,0,,,,,
0.089014,0.979318,2.121324,1.116313,0,,,,,
0.089014,1.074057,2.21698,-0.179591,0,,,,,
0.076267,1.042477,2.185094,-0.116376,0,,,,,
0.082641,1.200375,2.089439,-0.242806,0,,,,,
0.111322,1.453011,1.866242,1.653638,0,,,,,
0.044399,1.074057,2.21698,-0.211198,0,,,,,
0.044399,1.105636,2.025668,-0.211198,0,,,,,
0.006157,1.263534,2.376406,0.041661,0,,,,,
0.053959,1.295113,2.408291,0.010054,0,,,,,
0.079454,1.200375,2.248865,0.041661,0,,,,,
0.104948,1.137216,2.408291,0.42095,0,,,,,
0.101762,1.074057,2.121324,-0.179591,0,,,,,
0.101762,1.010898,2.121324,-0.147983,0,,,,,
0.108135,1.074057,2.34452,-0.021554,0,,,,,
0.079454,0.758262,2.153209,-0.211198,0,,,,,
0.098575,0.695103,2.248865,-0.242806,0,,,,,
0.127256,0.695103,2.089439,1.87489,0,,,,,
0.092201,1.042477,2.376406,-0.147983,0,,,,,
0.140003,1.042477,2.21698,-0.084769,0,,,,,
0.108135,0.947739,2.185094,-0.211198,0,,,,,
0.111322,1.042477,2.21698,-0.179591,0,,,,,
0.07308,1.042477,2.21698,-0.211198,0,,,,,
0.057146,1.010898,2.376406,-0.179591,0,,,,,
0.053959,1.010898,2.185094,-0.242806,0,,,,,
0.050773,4.800438,2.21698,-0.053161,0,,,,,
0.041212,1.074057,1.834357,-0.211198,0,,,,,
0.031652,1.042477,2.089439,-0.211198,0,,,,,
0.050773,1.358272,2.34452,0.073268,0,,,,,
0.060333,1.358272,2.472061,0.041661,0,,,,,
0.082641,1.263534,2.248865,0.041661,0,,,,,
0.098575,1.168795,2.376406,0.010054,0,,,,,
0.108135,0.979318,2.153209,0.231305,0,,,,,
0.104948,0.947739,2.089439,-0.30602,0,,,,,
0.127256,1.168795,2.153209,-0.179591,0,,,,,
0.111322,0.947739,2.312635,-0.147983,0,,,,,
0.025278,6.221515,2.34452,-0.969776,0,,,,,
0.047586,0.821421,2.472061,-0.179591,0,,,,,
0.079454,1.042477,2.376406,-0.147983,0,,,,,
0.108135,0.916159,2.089439,-0.147983,0,,,,,
0.098575,0.947739,2.28075,-0.021554,0,,,,,
0.130443,1.042477,2.153209,-0.622094,0,,,,,
0.101762,1.042477,2.153209,-0.147983,0,,,,,
0.053959,0.947739,3.460502,-0.053161,0,,,,,
0.07308,1.137216,2.408291,0.041661,0,,,,,
0.044399,1.231954,2.057554,-0.211198,0,,,,,
0.025278,1.042477,1.993783,-0.211198,0,,,,,
0.034839,1.042477,2.057554,-0.179591,0,,,,,
0.047586,1.263534,2.312635,0.073268,0,,,,,
0.044399,1.263534,2.472061,0.073268,0,,,,,
0.111322,1.200375,2.34452,0.010054,0,,,,,
0.114509,1.200375,2.312635,0.010054,0,,,,,
0.098575,0.947739,2.185094,-0.179591,0,,,,,
0.092201,0.88458,2.121324,-0.242806,0,,,,,
0.120883,1.105636,2.121324,-0.179591,0,,,,,
0.111322,1.074057,2.376406,-0.147983,0,,,,,
0.114509,0.947739,2.312635,-0.274413,0,,,,,
0.092201,2.084601,2.21698,-0.211198,0,,,,,
0.060333,1.042477,3.93878,-0.242806,0,,,,,
0.111322,0.916159,2.121324,-0.147983,0,,,,,
0.111322,0.947739,2.089439,0.452557,0,,,,,
0.085828,6.379413,2.185094,-0.179591,0,,,,,
0.06352,0.979318,1.643046,-0.242806,0,,,,,
0.089014,0.947739,2.21698,2.665075,0,,,,,
0.089014,0.347728,2.089439,-0.211198,0,,,,,
0.050773,1.042477,2.21698,-0.242806,0,,,,,
0.025278,1.042477,2.057554,-0.179591,0,,,,,
0.047586,1.010898,1.961898,-0.179591,0,,,,,
0.015718,1.074057,2.34452,1.716853,0,,,,,
0.047586,1.200375,4.321403,0.010054,0,,,,,
0.124069,-0.694395,2.472061,0.231305,0,,,,,
0.111322,1.231954,2.312635,0.073268,0,,,,,
0.14319,1.105636,2.121324,-0.116376,0,,,,,
0.092201,0.979318,3.556158,-0.147983,0,,,,,
0.104948,0.853,2.408291,-0.274413,0,,,,,
0.092201,1.042477,2.185094,-0.337628,0,,,,,
0.430003,1.989862,3.428617,2.443823,0,,,,,
0.082641,0.947739,2.472061,-0.274413,0,,,,,
0.066707,7.579434,2.248865,-0.43245,0,,,,,
0.114509,1.010898,2.185094,-0.622094,0,,,,,
0.124069,0.947739,2.185094,-0.211198,0,,,,,
0.101762,1.074057,2.21698,-0.179591,0,,,,,
0.095388,1.010898,2.185094,-0.147983,0,,,,,
0.092201,1.768806,2.089439,-0.242806,0,,,,,
0.066707,1.010898,2.089439,-0.179591,0,,,,,
0.041212,1.010898,2.089439,-0.242806,0,,,,,
0.018905,0.979318,2.089439,-0.495665,0,,,,,
0.044399,4.863597,2.025668,-0.211198,0,,,,,
-0.073513,0.663523,5.628696,2.00132,0,,,,,
0.066707,1.295113,2.472061,0.041661,0,,,,,
